File_Name,CIK,datadate,announce_date,tic,AbnReturn
833640-0001157523-11-002557.txt,833640,3/31/2011,2011-05-02,POWI,-6.133970489
1001250-0001104659-15-006847.txt,1001250,12/31/2014,2015-02-05,EL,8.44212523
1035748-0001102624-14-000154.txt,1035748,12/31/2013,2014-02-05,CALD,-25.87137003
702165-0000702165-17-000005.txt,702165,12/31/2016,2017-01-25,NSC,2.791187281
1237746-0001193125-18-307032.txt,1237746,9/30/2018,2018-10-25,EIGI,18.24152893
1590976-0001590976-19-000098.txt,1590976,9/30/2019,2019-11-07,MBUU,12.93617656
30697-0000030697-10-000020.txt,30697,12/31/2009,2010-03-04,WEN,-9.684595964
1590714-0001171843-15-001472.txt,1590714,12/31/2014,2015-03-18,ESI,-2.99978077
1065860-0001104659-10-043498.txt,1065860,6/30/2010,2010-08-10,LIME,5.825749563
55067-0001193125-15-170327.txt,55067,3/31/2015,2015-05-05,K,0.295816767
903129-0001564590-19-003534.txt,903129,12/31/2018,2019-02-21,THRM,-1.975050111
1335258-0001335258-16-000166.txt,1335258,12/31/2015,2016-02-25,LYV,3.619234852
87347-0001193125-18-013992.txt,87347,12/31/2017,2018-01-19,SLB,2.159535
215466-0000215466-18-000084.txt,215466,3/31/2018,2018-04-25,CDE,-6.452672782
861459-0001157523-12-005836.txt,861459,9/30/2012,2012-11-07,GVA,-1.80920859
707549-0001193125-10-169088.txt,707549,6/30/2010,2010-07-28,LRCX,-0.637252092
935494-0000935494-10-000002.txt,935494,12/31/2009,2010-01-26,NATI,5.1264402
54991-0001144204-10-039789.txt,54991,6/30/2010,2010-07-28,KEI,11.17618642
1534992-0001534992-19-000031.txt,1534992,9/30/2019,2019-11-05,FRGI,5.962947207
1309402-0001193125-13-416075.txt,1309402,9/30/2013,2013-10-29,GPRE,5.199260174
1172631-0001493152-18-007043.txt,1172631,3/31/2018,2018-05-15,SUNW,-6.767306929
1433660-0001437749-12-002053.txt,1433660,12/31/2011,2012-03-06,JBT,-11.10448957
1621563-0001628280-18-013681.txt,1621563,9/30/2018,2018-11-06,SUM,-3.221724926
831641-0001104659-20-053534.txt,831641,3/31/2020,2020-04-29,TTEK,-8.54317352
1361983-0000893838-11-000058.txt,1361983,9/30/2011,2011-11-09,ORBC,7.456602185
897077-0000897077-15-000008.txt,897077,12/31/2014,2015-03-04,ALG,13.97965465
34067-0001104659-14-031914.txt,34067,3/31/2014,2014-04-29,BOOM,3.39639364
77543-0000077543-17-000007.txt,77543,12/31/2016,2016-12-31,TPC,6.526383243
1282224-0001553350-19-000833.txt,1282224,6/30/2019,2019-08-13,DLPN,-7.508319448
16058-0001157523-18-002234.txt,16058,9/30/2018,2018-10-31,CACI,-3.809683871
1069202-0000950123-10-038544.txt,1069202,3/31/2010,2010-04-27,LII,-7.043666043
1001039-0001001039-15-000131.txt,1001039,3/31/2015,2015-05-05,DIS,-0.418298326
793733-0001104659-13-081444.txt,793733,9/30/2013,2013-11-06,SKYW,-2.380085907
1459200-0001459200-19-000011.txt,1459200,3/31/2019,2019-05-09,ALRM,-13.99856229
51644-0000051644-17-000023.txt,51644,6/30/2017,2017-07-25,IPG,-17.85052251
858655-0001104659-11-026357.txt,858655,3/31/2011,2011-05-05,HAYN,14.39842848
866374-0001104659-14-053288.txt,866374,6/30/2014,2014-07-24,FLEX,-2.926738167
7084-0000007084-13-000031.txt,7084,6/30/2013,2013-08-06,ADM,1.826190587
1324479-0000950123-10-039263.txt,1324479,3/31/2010,2010-04-28,ACLI,-6.330563728
946581-0001104659-12-072458.txt,946581,9/30/2012,2012-10-31,TTWO,2.64645693
103145-0001104659-12-051467.txt,103145,6/30/2012,2012-07-26,VECO,10.29028702
108312-0001171843-17-004258.txt,108312,6/30/2017,2017-07-24,WWD,2.371760354
712034-0000712034-14-000041.txt,712034,6/30/2014,2014-07-30,ACCO,10.83338532
1172222-0001104659-11-004137.txt,1172222,12/31/2010,2011-02-01,HA,-9.901858332
8858-0001193125-14-155959.txt,8858,3/31/2014,2014-04-24,AVT,-6.636214391
887936-0001193125-13-214318.txt,887936,3/31/2013,2013-05-09,FCN,0.244120245
1372020-0001171843-19-005015.txt,1372020,6/30/2019,2019-07-31,GLDD,8.384377222
1744489-0001744489-20-000149.txt,1744489,6/30/2020,2020-08-04,DIS,9.716183824
1230276-0001230276-18-000007.txt,1230276,12/31/2017,2018-02-21,P,-22.00958167
789460-0001628280-20-015102.txt,789460,9/30/2020,2020-10-29,INT,11.7517782
1288403-0001193125-12-220053.txt,1288403,3/31/2012,2012-05-08,WTI,-8.398742293
1021860-0001193125-14-388319.txt,1021860,9/30/2014,2014-10-30,NOV,-3.893893504
25212-0001157523-12-003764.txt,25212,6/30/2012,2012-07-24,CRRC,-19.02320915
46765-0001104659-16-091835.txt,46765,12/31/2015,2016-01-28,HP,5.621799515
15615-0001193125-13-084967.txt,15615,12/31/2012,2013-02-28,MTZ,-0.944199333
857005-0000857005-20-000013.txt,857005,3/31/2020,2020-04-29,PTC,0.968834032
1013462-0001144204-12-010507.txt,1013462,12/31/2011,2012-02-23,ANSS,-4.365014421
20212-0000020212-19-000036.txt,20212,6/30/2019,2019-07-31,CHDN,0.715988521
1318568-0001318568-19-000142.txt,1318568,9/30/2019,2019-11-05,EVRI,16.72960898
23675-0000023675-10-000066.txt,23675,9/30/2010,2010-11-03,CNW,4.240831312
928054-0001193125-12-223606.txt,928054,3/31/2012,2012-05-09,FTK,-1.624230502
1059556-0001157523-12-005435.txt,1059556,9/30/2012,2012-10-26,MCO,5.677629696
1322705-0001437749-14-001497.txt,1322705,12/31/2013,2014-02-04,CODE,3.856606422
1421517-0001421517-18-000145.txt,1421517,9/30/2018,2018-11-01,ERII,16.11157248
1509991-0001558370-16-005607.txt,1509991,3/31/2016,2016-05-09,KOS,-2.695147015
106040-0001193125-18-134881.txt,106040,3/31/2018,2018-04-26,WDC,-8.745884174
103379-0001157523-18-000993.txt,103379,3/31/2018,2018-05-04,VFC,-2.951160499
43196-0000950123-11-074191.txt,43196,6/30/2011,2011-08-08,GTN,-31.70810398
909494-0001437749-19-009215.txt,909494,3/31/2019,2019-05-08,TCX,-23.05096117
935036-0001193125-13-324299.txt,935036,6/30/2013,2013-08-07,ACIW,-0.885557416
1373988-0001144204-12-026726.txt,1373988,3/31/2012,2012-05-07,ESSX,6.486831998
1122904-0001122904-17-000138.txt,1122904,3/31/2017,2017-04-26,NTGR,-11.26715362
72207-0000072207-19-000065.txt,72207,6/30/2019,2019-08-02,NBL,7.022421925
100517-0001193125-11-283075.txt,101001,9/30/2011,2011-10-27,UAL,-6.80463976
717605-0001564590-18-024629.txt,717605,9/30/2018,2018-10-22,HXL,-4.101758501
863436-0000863436-16-000056.txt,863436,6/30/2016,2016-07-21,BHE,4.060540523
1223112-0001193125-10-188126.txt,1223112,6/30/2010,2010-08-13,ADES,-17.51941501
1627475-0001627475-20-000004.txt,1627475,12/31/2019,2020-02-26,UPWK,8.914147286
1286681-0001193125-15-059078.txt,1286681,12/31/2014,2015-02-24,DPZ,-1.09315377
1085869-0001085869-13-000012.txt,1085869,3/31/2013,2013-05-09,PRFT,-2.047935893
886035-0001157523-13-005254.txt,886035,9/30/2013,2013-11-04,BGC,-15.54600095
1062449-0001062449-15-000003.txt,1062449,12/31/2014,2015-02-05,BWLD,2.871386322
750199-0001193125-11-056161.txt,750199,12/31/2010,2011-03-03,EPL,-3.486990339
887936-0001193125-19-125601.txt,887936,3/31/2019,2019-04-25,FCN,8.003811327
1136893-0001136893-17-000027.txt,1136893,6/30/2017,2017-08-02,FIS,-0.832354791
896262-0001193125-12-453216.txt,896262,9/30/2012,2012-11-06,AMED,-4.342357951
1128928-0001193125-12-049839.txt,1128928,12/31/2011,2012-02-09,FLO,-2.534319813
1021162-0001021162-15-000031.txt,1021162,9/30/2015,2015-10-28,TGI,5.668042769
874238-0001171843-17-004743.txt,874238,6/30/2017,2017-08-02,STRL,-22.55980388
6314-0001171843-11-001143.txt,6314,3/31/2011,2011-04-27,ANEN,-3.855263544
18230-0001104659-13-056080.txt,18230,6/30/2013,2013-07-24,CAT,-3.920460636
1091883-0001193125-11-210407.txt,1091883,6/30/2011,2011-08-04,CIR,-26.17789202
1024725-0001157523-12-000454.txt,1024725,12/31/2011,2012-02-02,TEN,14.87996871
1162112-0001564590-20-037795.txt,1162112,6/30/2020,2020-08-06,RNET,12.68694514
59527-0001445305-13-000224.txt,59527,12/31/2012,2013-02-15,LECO,1.067842718
1057083-0001193125-14-158388.txt,1057083,3/31/2014,2014-04-22,PCTI,0.826100632
1627857-0001564590-18-028044.txt,1627857,9/30/2018,2018-11-07,SAIL,1.110228416
1001250-0001104659-14-061258.txt,1001250,6/30/2014,2014-08-15,EL,-0.134282012
5981-0001193125-10-181507.txt,5981,6/30/2010,2010-08-05,AVD,-1.597496899
1443646-0001443646-19-000092.txt,1443646,3/31/2019,2019-05-28,BAH,1.86687046
1290900-0001628280-19-002775.txt,1290900,12/31/2018,2019-03-11,CVGI,2.910461538
81362-0001104659-19-062666.txt,81362,9/30/2019,2019-11-12,KWR,-6.989732066
892553-0001193125-11-125124.txt,892553,3/31/2011,2011-05-04,GTLS,4.006693586
1492633-0001564590-18-024999.txt,1492633,9/30/2018,2018-10-25,NLSN,-2.351184272
876427-0001193125-13-304724.txt,876427,6/30/2013,2013-07-25,MNRO,-10.67701916
1012620-0001157523-16-004505.txt,1012620,12/31/2015,2016-02-09,GWR,-0.971643175
1593195-0001593195-19-000012.txt,1593195,12/31/2018,2019-03-13,TPCO,0.426484776
1338749-0001564590-20-033584.txt,1338749,6/30/2020,2020-07-27,PCH,2.0272057
853816-0001193125-16-548352.txt,853816,3/31/2016,2016-04-20,LSTR,-0.082102853
24741-0000024741-19-000010.txt,24741,12/31/2018,2019-01-29,GLW,7.450617264
701374-0000701374-18-000095.txt,701374,3/31/2018,2018-04-24,SIX,5.310965174
807863-0000807863-19-000037.txt,807863,6/30/2019,2019-07-25,MITK,-6.488188795
1688941-0001628280-20-007448.txt,1688941,3/31/2020,2020-05-11,FBM,-3.808916948
1002638-0001002638-17-000039.txt,1002638,9/30/2017,2017-11-02,OTEX,-0.676162472
792987-0000792987-15-000005.txt,792987,12/31/2014,2015-02-24,ASTE,7.901033846
1048695-0001445305-14-000106.txt,1048695,12/31/2013,2014-01-22,FFIV,8.846264464
65011-0000065011-19-000020.txt,65011,12/31/2018,2019-02-11,MDP,4.224252577
1702780-0001628280-19-005700.txt,1702780,3/31/2019,2019-05-02,ATUS,4.399516283
1289308-0001289308-16-000072.txt,1289308,6/30/2016,2016-08-10,ENS,6.794010067
1287808-0001104659-15-033992.txt,1287808,3/31/2015,2015-05-04,HIL,26.07864083
917470-0001157523-18-000958.txt,917470,3/31/2018,2018-05-03,ZEUS,-5.542841033
1124198-0001104659-11-060582.txt,1124198,9/30/2011,2011-11-03,FLR,-2.121321851
1364885-0000950123-11-045182.txt,1364885,3/31/2011,2011-05-05,SPR,-3.65327318
79879-0000079879-20-000051.txt,79879,9/30/2020,2020-10-19,PPG,-1.636996544
701345-0000950123-10-038553.txt,714560,3/31/2010,2010-04-27,LCC,12.78669751
1273441-0001273441-12-000013.txt,1273441,9/30/2012,2012-11-07,GTE,15.67905201
793733-0001104659-20-008666.txt,793733,12/31/2019,2020-01-30,SKYW,-8.198270774
1289848-0001193125-14-067425.txt,1289848,12/31/2013,2014-02-25,HURN,0.294069276
8063-0000008063-18-000004.txt,8063,12/31/2017,2018-02-26,ATRO,-3.899853092
1315257-0001193125-11-039033.txt,1315257,12/31/2010,2011-02-16,KOP,-1.03833977
854860-0001102624-12-000081.txt,854860,12/31/2011,2012-02-07,WMCO,-2.301473084
913142-0001193125-14-386228.txt,913142,9/30/2014,2014-10-29,BDC,3.962104874
916540-0001193125-16-488211.txt,916540,12/31/2015,2016-03-01,DAR,21.00010321
1109116-0001564590-19-016141.txt,1109116,12/31/2018,2019-05-07,EVC,7.837084889
